GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.service.impl,AppUserDetailsService,32,0,2,0,5,0,3,0,2,0
spring-boot-skeleton,com.nnk.springboot.service.impl,AppUserServiceImpl,99,0,4,0,15,0,10,0,8,0
spring-boot-skeleton,com.nnk.springboot.service.impl,TradeServiceImpl,35,0,0,0,6,0,6,0,6,0
spring-boot-skeleton,com.nnk.springboot.service.impl,CurvePointServiceImpl,82,0,0,0,15,0,8,0,8,0
spring-boot-skeleton,com.nnk.springboot.service.impl,RuleNameServiceImpl,39,0,0,0,7,0,7,0,7,0
spring-boot-skeleton,com.nnk.springboot.service.impl,BidListServiceImpl,39,0,0,0,7,0,7,0,7,0
spring-boot-skeleton,com.nnk.springboot.service.impl,RatingServiceImpl,41,0,0,0,7,0,7,0,7,0
spring-boot-skeleton,com.nnk.springboot.dto,CurvePointDto,155,0,30,0,4,0,26,0,11,0
spring-boot-skeleton,com.nnk.springboot.exception,ServiceException,10,0,0,0,4,0,2,0,2,0
spring-boot-skeleton,com.nnk.springboot.config,SecurityConfiguration,49,0,0,0,14,0,6,0,6,0
spring-boot-skeleton,com.nnk.springboot.config,CustomAccessDeniedHandler,7,0,0,0,3,0,2,0,2,0
spring-boot-skeleton,com.nnk.springboot.controller,RuleNameController,98,0,4,0,21,0,9,0,7,0
spring-boot-skeleton,com.nnk.springboot.controller,BidListController,95,0,4,0,20,0,9,0,7,0
spring-boot-skeleton,com.nnk.springboot.controller,LoginController,19,0,2,0,6,0,4,0,3,0
spring-boot-skeleton,com.nnk.springboot.controller,TradeController,95,0,4,0,20,0,9,0,7,0
spring-boot-skeleton,com.nnk.springboot.controller,RatingController,93,0,4,0,21,0,9,0,7,0
spring-boot-skeleton,com.nnk.springboot.controller,ErrorController,10,0,0,0,3,0,2,0,2,0
spring-boot-skeleton,com.nnk.springboot.controller,HomeController,22,0,0,0,5,0,3,0,3,0
spring-boot-skeleton,com.nnk.springboot.controller,CurveController,105,0,4,0,22,0,11,0,9,0
spring-boot-skeleton,com.nnk.springboot.controller,UserController,107,0,4,0,21,0,10,0,8,0
spring-boot-skeleton,com.nnk.springboot,Application,12,0,0,0,4,0,3,0,3,0
spring-boot-skeleton,com.nnk.springboot.domain,Rating,56,0,0,0,8,0,12,0,12,0
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,76,0,0,0,10,0,16,0,16,0
spring-boot-skeleton,com.nnk.springboot.domain,BidList,226,0,0,0,25,0,46,0,46,0
spring-boot-skeleton,com.nnk.springboot.domain,Trade,216,0,0,0,24,0,44,0,44,0
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,66,0,0,0,9,0,14,0,14,0
spring-boot-skeleton,com.nnk.springboot.domain,AppUser,56,0,0,0,8,0,12,0,12,0
